CCc1nc(CC)nc(NS(=O)(=O)c2ccc(N)cc2)n1
COc1ccc(-c2nc(C(=O)Nc3nnn[nH]3)cs2)cc1
CCCn1c2nc([C@H]3CCC(=O)C3)[nH]c2c(=O)n(CCC)c1=O
CCCn1c2nc([C@@H]3CCC(=O)C3)[nH]c2c(=O)n(CCC)c1=O
O=C(c1ccccn1)N1CCCN(C(=O)c2ccccn2)CC1
COc1ccnc(N2CCN(C(=O)c3cccs3)CC2)n1
O=C(O)[C@H](Cc1ccccc1)NC(=O)c1ccc2[nH]cnc2c1
O=C(/C=C/c1ccc(Br)s1)Nc1nnn[nH]1
O=C(NCCN1CCNC1=O)Nc1cccc(C(F)(F)F)c1
COc1cc(C(=O)N[C@H]2CCCCNC2=O)cc(OC)c1OC
CCOc1ccnc(N2CCN(C(=O)c3cccs3)CC2)n1
COc1ccnc(N2CCN(C(=O)c3sccc3F)CC2)n1
O=C(NC1CCN(C(=O)c2ccccn2)CC1)c1ccccn1
O=C(N[C@H]1CCCN(C(=O)c2ccccn2)CC1)c1ccccn1
O=C(C1CCNCC1)N1CCN(c2cccc3[nH]ccc32)CC1
O=C1CCCN1CCCN1CCN(c2ccc(F)cc2)CC1
Cc1ccc(S(=O)(=O)NCCC(=O)N2CCCCC2)cc1
Cc1ccc(S(=O)(=O)N[C@@H](CO)Cc2ccccc2)cc1
Cn1cc(S(=O)(=O)NCc2ccco2)c(C(F)(F)F)n1
NS(=O)(=O)c1ccc(-n2ncc3ccccc3c2=O)cc1
NC(=O)c1sccc1NS(=O)(=O)c1ccc(F)cc1F
O=C(O)CSCC(=O)Nc1ccc(-c2csnn2)cc1
COc1cccc(NC(=O)CN2C(=O)c3ccccc3C2=O)c1
COc1ccc(NS(=O)(=O)c2c(C)noc2C)c(OC)n1
COc1ccc(NS(=O)(=O)c2ccc(NC(C)=O)cc2)cn1
COC(=O)c1cc(S(=O)(=O)NCc2cccs2)oc1C
O=C(CCn1c(=O)oc2ccccc21)NCCN1CCCCC1
O=S(=O)(Cc1cccc(C(F)(F)F)c1)N1CCOCC1
